ImageDocumentName::Image Name,ParentID::ID of the parent!!I,ID::ID!!I,Area::Area!!R,Area1::Area Unscaled!!R,CenterX1::Center X Unscaled!!R,CenterY1::Center Y Unscaled!!R,ImageIndexZ::Image Index Z!!I,ImageScaleX::Image Scale X!!R,ImageScaleY::Image Scale Y!!R,ClassColorName::Region Class Color Name,Classes 5 RegionsCount ::Classes 5 Count!!I,Classes 9 RegionsCount ::Classes 9 Count!!I,IntensityMaximum_TV1-T1-SR::Intensity Maximum of channel 'TV1-T1-SR'!!R,IntensityMaximum_TV2-T2-SR::Intensity Maximum of channel 'TV2-T2-SR'!!R,IntensityMaximum_TV2-T3-SR::Intensity Maximum of channel 'TV2-T3-SR'!!R,IntensityMean_TV1-T1-SR::Intensity Mean Value of channel 'TV1-T1-SR'!!R,IntensityMean_TV2-T2-SR::Intensity Mean Value of channel 'TV2-T2-SR'!!R,IntensityMean_TV2-T3-SR::Intensity Mean Value of channel 'TV2-T3-SR'!!R,IntensityMinimum_TV1-T1-SR::Intensity Minimum of channel 'TV1-T1-SR'!!R,IntensityMinimum_TV2-T2-SR::Intensity Minimum of channel 'TV2-T2-SR'!!R,IntensityMinimum_TV2-T3-SR::Intensity Minimum of channel 'TV2-T3-SR'!!R,IntensitySum0_TV1-T1-SR::Intensity Pixel Count of channel 'TV1-T1-SR'!!R,IntensitySum0_TV2-T2-SR::Intensity Pixel Count of channel 'TV2-T2-SR'!!R,IntensitySum0_TV2-T3-SR::Intensity Pixel Count of channel 'TV2-T3-SR'!!R,IntensityRange_TV1-T1-SR::Intensity Range of channel 'TV1-T1-SR'!!R,IntensityRange_TV2-T2-SR::Intensity Range of channel 'TV2-T2-SR'!!R,IntensityRange_TV2-T3-SR::Intensity Range of channel 'TV2-T3-SR'!!R,IntensityStd_TV1-T1-SR::Intensity Standard Deviation of channel 'TV1-T1-SR'!!R,IntensityStd_TV2-T2-SR::Intensity Standard Deviation of channel 'TV2-T2-SR'!!R,IntensityStd_TV2-T3-SR::Intensity Standard Deviation of channel 'TV2-T3-SR'!!R,IntensitySum1_TV1-T1-SR::Intensity Sum of channel 'TV1-T1-SR'!!R,IntensitySum1_TV2-T2-SR::Intensity Sum of channel 'TV2-T2-SR'!!R,IntensitySum1_TV2-T3-SR::Intensity Sum of channel 'TV2-T3-SR'!!R,IntensitySum2_TV1-T1-SR::Intensity Sum Squares of channel 'TV1-T1-SR'!!R,IntensitySum2_TV2-T2-SR::Intensity Sum Squares of channel 'TV2-T2-SR'!!R,IntensitySum2_TV2-T3-SR::Intensity Sum Squares of channel 'TV2-T3-SR'!!R
,,,"nm²","pixel²","pixel","pixel",,"nm/pixel","nm/pixel",,"#","#","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","pixel²","pixel²","pixel²","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown²","Unknown²","Unknown²"
"Image 11_P7-3.czi",1,2,63330280.359221,64631,191.43366960128,134.34779749656,1,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 11_P7-3.czi",1,2,62924612.242239,64217,191.53226559945,134.17100611988,2,31.30295,31.30295,"Orange",0,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 11_P7-3.czi",1,2,62465051.017927,63748,192.01341218548,133.35591704838,3,31.30295,31.30295,"Orange",1,0, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 11_P7-3.czi",3,4,30376.115039778,31,182.27419354839,125.24193548387,3,31.30295,31.30295,"Yellow", , ,2253,34,3510,1803.2580645161,8.0967741935484,944.51612903226,1189,0,0,31,31,31,1064,34,3510,323.35068349414,10.665692159786,994.42622890347,55901,251,29280,103940599,5445,57321938
"Image 11_P7-3.czi",1,2,61688010.397716,62955,192.2165276785,132.16601540783,4,31.30295,31.30295,"Orange",1,1, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 11_P7-3.czi",3,4,42134.611184208,43,181.73255813954,124.87209302326,4,31.30295,31.30295,"Yellow", , ,2933,77,5490,2156,23.883720930233,1745.9534883721,1363,0,0,43,43,43,1570,77,5490,460.45748472372,26.698679566356,1632.6681194478,92708,1027,75076,208783334,54467,243034622
"Image 11_P7-3.czi",5,6,29396.240361075,30,274,156.8,4,31.30295,31.30295,"Fuchsia", , ,387,2546,5195,138.4,1829.1,1402.1666666667,0,847,0,30,30,30,387,1699,5195,139.83576573721,477.64922564432,1468.8789082584,4152,54873,42065,1141704,106984519,121552693
"Image 11_P7-3.czi",1,2,61090286.843707,62345,190.53990696928,131.91990536531,5,31.30295,31.30295,"Orange",1,1, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 11_P7-3.czi",3,4,39194.9871481,40,181.65,125.45,5,31.30295,31.30295,"Yellow", , ,3407,165,7438,2593.65,51.475,2393.325,1701,0,0,40,40,40,1706,165,7438,517.14916511038,57.454100967196,2214.6497597438,103746,2059,95733,279511100,234725,420402451
"Image 11_P7-3.czi",5,6,42134.611184208,43,273.31395348837,157.36046511628,5,31.30295,31.30295,"Fuchsia", , ,421,3570,6275,123.13953488372,2314.1162790698,1390.0465116279,0,1079,0,43,43,43,421,2491,6275,140.12521295092,655.42789401466,1737.2926522869,5295,99507,59772,1476697,248313369,209849662
"Image 11_P7-3.czi",1,2,60051619.684283,61285,189.89468059068,131.58971200131,6,31.30295,31.30295,"Orange",0,3, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 11_P7-3.czi",4,5,15677.99485924,16,237,25,6,31.30295,31.30295,"Fuchsia", , ,225,1323,1085,132.6875,1172.25,210,8,1004,0,16,16,16,217,319,1085,75.646298653668,97.324542982059,372.03566137312,2123,18756,3360,367531,22128802,2781758
"Image 11_P7-3.czi",4,6,57812.606043448,59,273.22881355932,157.44915254237,6,31.30295,31.30295,"Fuchsia", , ,437,4579,6617,110.30508474576,2569.2033898305,1647.3728813559,0,919,0,59,59,59,437,3660,6617,137.92979901551,1022.7089412971,2054.133090896,6508,151583,97195,1821294,450111705,404845247
"Image 11_P7-3.czi",4,7,16657.869537943,17,183.55882352941,169.08823529412,6,31.30295,31.30295,"Fuchsia", , ,307,1706,3256,125.47058823529,1406.7058823529,940,0,977,0,17,17,17,307,729,3256,99.928172733631,201.20939488065,891.51528309951,2133,23914,15980,427399,34287728,27737992
"Image 11_P7-3.czi",1,2,59404902.396339,60625,189.12335670103,131.16216907217,7,31.30295,31.30295,"Orange",0,4, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 11_P7-3.czi",4,5,15677.99485924,16,235,24.5,7,31.30295,31.30295,"Fuchsia", , ,287,1708,1419,225.9375,1279.9375,282.0625,111,682,0,16,16,16,176,1026,1419,47.046740942741,303.86147474356,472.27752699022,3615,20479,4513,849965,27596817,4618639
"Image 11_P7-3.czi",4,6,24496.866967563,25,99.82,121.42,7,31.30295,31.30295,"Fuchsia", , ,197,2008,14863,81.72,1537.4,9366.32,0,1009,3037,25,25,25,197,999,11826,67.49353055417,303.26858283267,3377.0616754806,2043,38435,234158,276283,61297293,2466907852
"Image 11_P7-3.czi",4,7,20577.368252753,21,127.21428571429,131.21428571429,7,31.30295,31.30295,"Fuchsia", , ,313,1943,8757,89.904761904762,1499.7619047619,5581.380952381,0,938,375,21,21,21,313,1005,8382,108.58402495851,291.11078728929,2405.06639152,1888,31495,117209,405550,48929911,769874967
"Image 11_P7-3.czi",4,8,78389.9742962,80,272.9125,157.5,7,31.30295,31.30295,"Fuchsia", , ,464,5540,7672,106.75,2622.125,2028.9375,0,796,0,80,80,80,464,4744,7672,145.75777548359,1337.7171502417,2148.8566011363,8540,209770,162315,2590026,691412648,694116181
"Image 11_P7-3.czi",1,2,58892427.939378,60102,189.79776047386,130.83995540914,8,31.30295,31.30295,"Orange",1,8, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 11_P7-3.czi",3,4,27436.49100367,28,114.14285714286,65.892857142857,8,31.30295,31.30295,"Yellow", , ,1721,82,6566,1354.4285714286,49.357142857143,3005.8571428571,853,2,0,28,28,28,868,80,6566,255.62942341679,24.393706361537,2219.7349310269,37924,1382,84164,53129702,84278,386019986
"Image 11_P7-3.czi",5,6,25476.741646265,26,237.34615384615,25.153846153846,8,31.30295,31.30295,"Fuchsia", , ,340,1991,5173,224,1524.6538461539,1321.2307692308,101,1080,0,26,26,26,239,911,5173,71.455160765336,295.16882522485,1247.141798119,5824,39641,34352,1432222,62616919,84270986
"Image 11_P7-3.czi",5,7,15677.99485924,16,257.5,42,8,31.30295,31.30295,"Fuchsia", , ,104,1275,4418,12.8125,1103.8125,1867.1875,0,812,311,16,16,16,104,463,4107,28.91647454307,134.19101745894,1138.9632840878,205,17661,29875,15169,19764541,75240787
"Image 11_P7-3.czi",5,8,35275.48843329,36,230.30555555556,68.777777777778,8,31.30295,31.30295,"Fuchsia", , ,364,2292,3585,149.55555555556,1713.3611111111,1430.9722222222,0,1051,0,36,36,36,364,1241,3585,129.6766185433,342.13031375092,1085.3553858032,5384,61681,51515,1393768,109778687,114946405
"Image 11_P7-3.czi",5,9,37235.237790695,38,248,101.89473684211,8,31.30295,31.30295,"Fuchsia", , ,397,2367,7905,234.63157894737,1604.7631578947,3340.0263157895,0,726,0,38,38,38,397,1641,7905,105.5550121853,451.2908473216,2480.5602842126,8916,60981,126921,2504224,105395609,651587115
"Image 11_P7-3.czi",5,10,21557.242931455,22,127.59090909091,131.40909090909,8,31.30295,31.30295,"Fuchsia", , ,377,2546,8736,82.318181818182,1923.4090909091,6025.8181818182,0,1237,2018,22,22,22,377,1309,6718,116.61633731974,414.3412050462,1998.6933025727,1811,42315,132568,434665,84994307,882720938
"Image 11_P7-3.czi",5,11,20577.368252753,21,228.07142857143,141.21428571429,8,31.30295,31.30295,"Fuchsia", , ,164,1772,7800,27.52380952381,1408.2380952381,3279,0,923,149,21,21,21,164,849,7651,54.53862763915,260.28040739977,2539.12620797,578,29573,68859,75398,43000743,354731899
"Image 11_P7-3.czi",5,12,15677.99485924,16,181,148.5,8,31.30295,31.30295,"Fuchsia", , ,121,2080,4465,56,1632.6875,1742.75,0,1074,0,16,16,16,121,1006,4465,48.961209135396,294.8678164308,1529.1482378544,896,26123,27884,86134,43954901,83669256
"Image 11_P7-3.czi",5,13,80349.723653605,82,272.90243902439,157.48780487805,8,31.30295,31.30295,"Fuchsia", , ,501,6163,8872,114.46341463415,2868.3536585366,2496.2682926829,0,767,0,82,82,82,501,5396,8872,158.77487713095,1497.6182438278,2348.1799521383,9386,235205,204694,3116320,856322815,957601018
"Image 11_P7-3.czi",1,2,58536733.431009,59739,189.91087062053,130.44340380656,9,31.30295,31.30295,"Orange",0,11, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 11_P7-3.czi",4,5,18617.618895348,19,256.92105263158,42.394736842105,9,31.30295,31.30295,"Fuchsia", , ,186,1340,2122,36,1174.9473684211,604.73684210526,0,962,0,19,19,19,186,378,2122,57.983714188651,117.8405107122,657.88379944125,684,22324,11490,85142,26479480,14739026
"Image 11_P7-3.czi",4,6,30376.115039778,31,281.37096774194,61.241935483871,9,31.30295,31.30295,"Fuchsia", , ,513,2047,6465,239.41935483871,1478.6129032258,3338.2258064516,36,791,0,31,31,31,477,1256,6465,128.05748037335,356.79197276278,2222.7335979176,7422,45837,103485,2268932,71594195,493672637
"Image 11_P7-3.czi",4,7,27436.49100367,28,229.82142857143,68.5,9,31.30295,31.30295,"Fuchsia", , ,447,3001,5114,207.78571428571,2341.1785714286,1373.3571428571,0,1448,0,28,28,28,447,1553,5114,152.2209303618,413.09877337127,1464.4706846651,5818,65553,38454,1834520,158078845,110717284
"Image 11_P7-3.czi",4,8,19597.49357405,20,93.85,87.9,9,31.30295,31.30295,"Fuchsia", , ,88,1761,6613,8.8,1214.55,3982.9,0,611,1298,20,20,20,88,1150,5315,22.125479477409,342.56915936402,1564.2020969172,176,24291,79658,10850,31732353,363757684
"Image 11_P7-3.czi",4,9,31355.98971848,32,248.28125,102.875,9,31.30295,31.30295,"Fuchsia", , ,540,2936,8582,341.03125,2083.84375,3271.9375,23,912,0,32,32,32,517,2024,8582,135.0348782603,504.00442326368,2386.9095275569,10913,66683,104702,4286941,146831587,519195850
"Image 11_P7-3.czi",4,10,16657.869537943,17,97.911764705882,122.44117647059,9,31.30295,31.30295,"Fuchsia", , ,219,2077,14059,101.05882352941,1488.7058823529,7592.6470588235,0,942,969,17,17,17,219,1135,13090,61.947024331516,336.94765259345,4321.2278194568,1718,25308,129075,235018,39492708,1278789077
"Image 11_P7-3.czi",4,11,25476.741646265,26,126.96153846154,131.23076923077,9,31.30295,31.30295,"Fuchsia", , ,320,3120,8648,63.269230769231,2322.0769230769,5206.6538461539,0,1399,487,26,26,26,320,1721,8161,97.508792502957,490.52607866061,2480.7310848588,1645,60374,135373,341777,146208468,858691019
"Image 11_P7-3.czi",4,12,23516.99228886,24,180,148.375,9,31.30295,31.30295,"Fuchsia", , ,158,2477,3914,59.833333333333,1912.6666666667,1476.4583333333,0,1124,0,24,24,24,158,1353,3914,60.532180924994,337.49559310059,1156.3710469345,1436,45904,35435,170196,90418826,83073763
"Image 11_P7-3.czi",4,13,77410.099617498,79,272.95569620253,157.43670886076,9,31.30295,31.30295,"Fuchsia", , ,529,6229,9405,136.69620253165,3020,3040.253164557,0,868,0,79,79,79,529,5361,9405,167.58092988857,1478.5491936181,2428.3166558832,10799,238580,240180,3666685,891028002,1190152304
"Image 11_P7-3.czi",4,14,21557.242931455,22,209.18181818182,160.59090909091,9,31.30295,31.30295,"Fuchsia", , ,490,2757,6026,251.45454545455,2195.5454545455,3585.2272727273,0,1540,16,22,22,22,490,1217,6010,150.04689021792,371.29037888766,1769.3043543349,5532,48302,78875,1863842,108944224,348523997
"Image 11_P7-3.czi",4,15,17637.744216645,18,183.33333333333,168.83333333333,9,31.30295,31.30295,"Fuchsia", , ,443,2638,3222,242.83333333333,2117.7777777778,1504.6111111111,0,1414,65,18,18,18,443,1224,3157,147.68497872559,321.32474970229,929.65180951155,4371,38120,27083,1432209,82484932,55441675
"Image 11_P7-3.czi",1,2,58072272.833304,59265,190.22761326247,129.71316122501,10,31.30295,31.30295,"Orange",0,12, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 11_P7-3.czi",4,5,23516.99228886,24,237.625,24.875,10,31.30295,31.30295,"Fuchsia", , ,362,2156,5033,227.45833333333,1622.6666666667,792.66666666667,100,847,0,24,24,24,262,1309,5033,68.666161001374,364.35203553308,1275.4171241518,5459,38944,19024,1350141,66246436,52493534
"Image 11_P7-3.czi",4,6,23516.99228886,24,119.41666666667,59.416666666667,10,31.30295,31.30295,"Fuchsia", , ,333,1883,4653,26.958333333333,1476.4166666667,3178.3333333333,0,1067,1463,24,24,24,333,816,3190,76.333637902057,249.66045057179,954.99504513473,647,35434,76280,151459,53748946,263419624
"Image 11_P7-3.czi",4,7,34295.613754588,35,281.27142857143,61.528571428571,10,31.30295,31.30295,"Fuchsia", , ,620,2951,9759,331.85714285714,1994.8,4203.4285714286,68,790,0,35,35,35,552,2161,9759,157.56980579248,561.95696925487,2896.1833940724,11615,69818,147120,4698681,150009998,903596272
"Image 11_P7-3.czi",4,8,45074.235220315,46,229.76086956522,68.630434782609,10,31.30295,31.30295,"Fuchsia", , ,501,3612,7420,194.39130434783,2371.8913043478,2158.9130434783,0,1164,0,46,46,46,501,2448,7420,172.40230447814,689.42917542174,2117.3486022339,8942,109107,99310,3075762,280179011,416144084
"Image 11_P7-3.czi",4,9,25476.741646265,26,243.34615384615,76.846153846154,10,31.30295,31.30295,"Fuchsia", , ,284,2576,6936,34.923076923077,1967.6153846154,2372,0,1228,0,26,26,26,284,1348,6936,75.472868278302,364.27221435878,2226.3879625977,908,51158,61672,174114,103976624,270206068
"Image 11_P7-3.czi",4,10,28416.365682373,29,92.293103448276,87.879310344828,10,31.30295,31.30295,"Fuchsia", , ,103,1974,6930,13.172413793103,1329.724137931,2969.3448275862,0,493,0,29,29,29,103,1481,6930,26.433297407298,398.18686357679,2142.4165974075,382,38562,86111,24596,55716300,384211821
"Image 11_P7-3.czi",4,11,51933.357971233,53,248.33018867925,102.59433962264,10,31.30295,31.30295,"Fuchsia", , ,654,3254,9439,352.03773584906,1935.9245283019,4539.6037735849,0,593,0,53,53,53,654,2661,9439,165.60088283211,666.37930550841,2744.4930759307,18658,102604,240599,7994350,221724792,1483900725
"Image 11_P7-3.czi",4,12,48013.859256423,49,126.31632653061,130.78571428571,10,31.30295,31.30295,"Fuchsia", , ,380,3544,8398,75.489795918367,2151.5102040816,4253.4693877551,0,805,33,49,49,49,380,2739,8365,118.26068000555,734.4906149403,2253.6383093238,3699,105424,208420,950545,252715682,1130294600
"Image 11_P7-3.czi",4,13,41154.736505505,42,167.28571428571,151.09523809524,10,31.30295,31.30295,"Fuchsia", , ,367,2902,8486,86.642857142857,2133.2857142857,6095.9047619048,0,1412,665,42,42,42,367,1490,7821,118.31269470443,403.44475764827,2160.2608335007,3639,89598,256028,889207,197811608,1752058106
"Image 11_P7-3.czi",4,14,79369.848974903,81,273.14197530864,157.35185185185,10,31.30295,31.30295,"Fuchsia", , ,531,5737,9331,176.77777777778,2818.1111111111,3495.024691358,0,834,0,81,81,81,531,4903,9331,153.75695106238,1353.482111075,2396.1498699753,14319,228267,283097,4422577,789834875,1448753741
"Image 11_P7-3.czi",4,15,56832.731364745,58,207.74137931035,159.91379310345,10,31.30295,31.30295,"Fuchsia", , ,496,3553,7008,140.03448275862,2248,4084.6034482759,0,1137,746,58,58,58,496,2416,6262,153.97584288968,682.22877780343,1631.9626429726,8122,130384,236907,2488748,319633090,1119479367
"Image 11_P7-3.czi",4,16,20577.368252753,21,158.21428571429,181.92857142857,10,31.30295,31.30295,"Fuchsia", , ,425,2459,2533,247.47619047619,1969.7619047619,703.61904761905,120,1334,0,21,21,21,305,1125,2533,94.237794460407,327.90698448827,935.75795354303,5197,41365,14776,1463749,83629661,27909534
"Image 11_P7-3.czi",1,2,58016419.976618,59208,189.10623564383,129.59245372247,11,31.30295,31.30295,"Orange",0,18, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 11_P7-3.czi",4,5,19597.49357405,20,277.55,40.4,11,31.30295,31.30295,"Fuchsia", , ,559,1826,3798,329.4,1466.5,2219.85,119,1005,0,20,20,20,440,821,3798,138.40649513205,256.83037613426,1215.3189867165,6588,29330,44397,2534058,44265720,126617685
"Image 11_P7-3.czi",4,6,20577.368252753,21,209.5,45.357142857143,11,31.30295,31.30295,"Fuchsia", , ,199,2233,4368,67.476190476191,1862,1306.7142857143,0,1239,0,21,21,21,199,994,4368,71.051121769905,303.62279229333,1320.7089059614,1417,39102,27441,196579,74651660,70742987
"Image 11_P7-3.czi",4,7,20577.368252753,21,119.5,59.357142857143,11,31.30295,31.30295,"Fuchsia", , ,0,1816,5541,0,1461.2857142857,3772.1904761905,0,1125,574,21,21,21,0,691,4967,0,214.04909316723,1342.089550628,0,30687,79216,0,45758815,334841928
"Image 11_P7-3.czi",4,8,46054.109899018,47,280.62765957447,61.5,11,31.30295,31.30295,"Fuchsia", , ,604,3796,9565,360.85106382979,2347.7021276596,3699.085106383,121,1155,0,47,47,47,483,2641,9565,122.15421093374,775.24733542421,2801.4551950711,16960,110342,173857,6806430,286696536,1004126795
"Image 11_P7-3.czi",4,9,56832.731364745,58,230.08620689655,68.241379310345,11,31.30295,31.30295,"Fuchsia", , ,570,4002,7977,217.39655172414,2445.5862068966,2146.7586206897,0,1094,0,58,58,58,570,2908,7977,202.37952358588,807.90350375856,2085.6341566657,12609,141844,124512,5075729,384096090,515239790
"Image 11_P7-3.czi",4,10,24496.866967563,25,133.5,72.5,11,31.30295,31.30295,"Fuchsia", , ,0,1306,5830,0,1023.08,4034.2,0,714,1658,25,25,25,0,592,4172,0,164.16884600922,1270.1139056531,0,25577,100855,0,26814151,445585785
"Image 11_P7-3.czi",4,11,26456.616324968,27,243.38888888889,77.055555555556,11,31.30295,31.30295,"Fuchsia", , ,213,3414,8095,27.296296296296,2505.1111111111,2871.2962962963,0,1192,0,27,27,27,213,2222,8095,56.39409053521,640.26318707071,2825.2545945837,737,67638,77525,102805,180099066,430130897
"Image 11_P7-3.czi",4,12,32335.864397183,33,174.95454545455,79.681818181818,11,31.30295,31.30295,"Fuchsia", , ,106,2082,7352,3.7272727272727,1439.1212121212,3525.5151515152,0,761,123,33,33,33,106,1321,7229,18.596492826728,369.37842702097,2122.5750740729,123,47491,116342,11525,72711399,554335882
"Image 11_P7-3.czi",4,13,27436.49100367,28,262.17857142857,79.607142857143,11,31.30295,31.30295,"Fuchsia", , ,271,2976,9298,130.57142857143,2264.2142857143,5309.6071428571,0,1342,296,28,28,28,271,1634,9002,70.800412517855,427.9069955322,2817.070061045,3656,63398,148669,612712,148490476,1003642845
"Image 11_P7-3.czi",4,14,22537.117610158,23,93.065217391304,87.54347826087,11,31.30295,31.30295,"Fuchsia", , ,130,2017,6970,25.347826086957,1516,3704.9565217391,0,849,97,23,23,23,130,1168,6873,38.618893981211,321.59644389712,1815.119892816,583,34868,85214,47589,55135222,388196690
"Image 11_P7-3.czi",4,15,47033.98457772,48,248.4375,102.125,11,31.30295,31.30295,"Fuchsia", , ,708,3217,10032,350.95833333333,2013.375,4191.2708333333,0,872,0,48,48,48,708,2345,10032,214.30758947784,636.2392038126,2985.0439516318,16846,96642,201181,8070848,213602202,1261996965
"Image 11_P7-3.czi",4,16,53893.107328638,55,126.13636363636,130.82727272727,11,31.30295,31.30295,"Fuchsia", , ,365,3732,7755,72.672727272727,2188.8181818182,4036.6727272727,0,992,0,55,55,55,365,2740,7755,115.00693289013,803.28400242516,2003.0393577478,3997,120385,222017,1004709,298345197,1112866969
"Image 11_P7-3.czi",4,17,56832.731364745,58,167.06896551724,151.13793103448,11,31.30295,31.30295,"Fuchsia", , ,357,3577,8119,89.568965517241,2380.8448275862,5347.8448275862,0,1246,285,58,58,58,357,2331,7834,120.03363740087,587.13923755019,2048.4061566293,5195,138089,310175,1286571,348418233,1897937933
"Image 11_P7-3.czi",4,18,80349.723653605,82,273.09756097561,157.41463414634,11,31.30295,31.30295,"Fuchsia", , ,525,4835,9715,215.32926829268,2456.8292682927,3828.8780487805,0,778,0,82,82,82,525,4057,9715,153.75506053124,1125.7708339137,2525.2146926952,17657,201460,313968,5716959,597608982,1718658632
"Image 11_P7-3.czi",4,19,72510.726223985,74,207.51351351351,160.10810810811,11,31.30295,31.30295,"Fuchsia", , ,462,4147,8335,149.94594594595,2429.1351351351,4760.3378378378,0,1057,340,74,74,74,462,3090,7995,142.26917299991,871.04296363729,1812.8638002549,11096,179756,352265,3141358,492037872,1916813095
"Image 11_P7-3.czi",4,20,24496.866967563,25,243.1,168.58,11,31.30295,31.30295,"Fuchsia", , ,553,3125,4782,114.2,2441.88,1111.44,0,1777,0,25,25,25,553,1348,4782,169.45894291342,398.65715429008,1551.6169813026,2855,61047,27786,1015233,152883709,88662838
"Image 11_P7-3.czi",4,21,42134.611184208,43,157.82558139535,181.38372093023,11,31.30295,31.30295,"Fuchsia", , ,438,3268,5347,169.48837209302,2136,1973.5581395349,0,978,0,43,43,43,438,2290,5347,130.39744594581,636.83678854012,1508.0813307348,7288,91848,84863,1949378,213220894,263003055
"Image 11_P7-3.czi",4,22,27436.49100367,28,154.35714285714,226.32142857143,11,31.30295,31.30295,"Fuchsia", , ,465,1345,5098,190.60714285714,1030.5714285714,1272.5714285714,0,474,0,28,28,28,465,871,5098,149.85754699559,222.89898535426,1541.5079300518,5337,28856,35632,1623617,31079636,109502926
"Image 11_P7-3.czi",1,2,58199656.541535,59395,189.13485141847,129.93540702079,12,31.30295,31.30295,"Orange",1,19, , , , , , , , , , , , , , , , , , , , , , , , 
"Image 11_P7-3.czi",3,4,20577.368252753,21,179.92857142857,127.21428571429,12,31.30295,31.30295,"Yellow", , ,2742,968,1036,2108.1904761905,482.90476190476,124.33333333333,1454,43,0,21,21,21,1288,925,1036,372.46699438308,299.86762158691,293.3749023576,44272,10141,2611,96108442,6695549,2046011
"Image 11_P7-3.czi",5,6,17637.744216645,18,220.16666666667,39.333333333333,12,31.30295,31.30295,"Fuchsia", , ,540,1973,3254,287.55555555556,1672.7222222222,694.22222222222,94,1152,0,18,18,18,446,821,3254,137.1449307344,235.98424811728,1065.3378671773,5176,30109,12496,1808136,51310699,27969062
"Image 11_P7-3.czi",5,7,29396.240361075,30,208.4,45.3,12,31.30295,31.30295,"Fuchsia", , ,147,2476,4289,42.733333333333,2053.2333333333,1597,0,1501,0,30,30,30,147,975,4289,53.432479682843,277.86720759649,1356.1239644282,1282,61597,47910,137580,128712109,129845364
"Image 11_P7-3.czi",5,8,50953.48329253,52,280.88461538462,61.730769230769,12,31.30295,31.30295,"Fuchsia", , ,585,4496,11433,381.96153846154,2491.9615384615,4152.2884615385,160,757,0,52,52,52,425,3739,11433,113.0871538861,1062.2280313796,3332.2668039059,19862,129582,215919,8238744,380458108,1462862077
"Image 11_P7-3.czi",5,9,54872.98200734,56,229.91071428571,68.232142857143,12,31.30295,31.30295,"Fuchsia", , ,644,4073,7891,204.82142857143,2501.4107142857,2089.6964285714,0,995,0,56,56,56,644,3078,7891,226.45048482598,829.5985617763,2248.820765077,11470,140079,117023,5169692,388247969,522688261
"Image 11_P7-3.czi",5,10,44094.360541613,45,242.92222222222,76.944444444444,12,31.30295,31.30295,"Fuchsia", , ,188,4183,7590,38.244444444444,2544.0222222222,2631.5333333333,0,1038,0,45,45,45,188,3145,7590,61.402234026413,883.09495754443,2540.7146328257,1721,114481,118419,231709,325555903,595653703
"Image 11_P7-3.czi",5,11,42134.611184208,43,261.82558139535,79.290697674419,12,31.30295,31.30295,"Fuchsia", , ,403,3471,10592,151.11627906977,2278.9069767442,5006.6744186047,0,1137,0,43,43,43,403,2334,10592,121.7089051213,649.99446202599,3181.7274113356,6498,97993,215287,1604102,241061629,1503054267
"Image 11_P7-3.czi",5,12,27436.49100367,28,175.10714285714,79.535714285714,12,31.30295,31.30295,"Fuchsia", , ,0,2625,6798,0,1920.5357142857,3132.2142857143,0,1145,0,28,28,28,0,1480,6798,0,423.84094519689,2288.8929615467,0,53775,87702,0,108127119,416155294
"Image 11_P7-3.czi",5,13,35275.48843329,36,92.5,87.166666666667,12,31.30295,31.30295,"Fuchsia", , ,279,1885,9047,41.555555555556,1337.0833333333,4235.4722222222,0,806,52,36,36,36,279,1079,8995,68.751911950326,305.57032157684,1957.9945496219,1496,48135,152477,227606,67628569,779993091
"Image 11_P7-3.czi",5,14,32335.864397183,33,247.28787878788,102.43939393939,12,31.30295,31.30295,"Fuchsia", , ,738,2819,10019,471.93939393939,1948.5757575758,4346.2424242424,199,1021,0,33,33,33,539,1798,10019,159.26647077185,550.80004483836,3778.4539664913,15574,64303,143426,8161690,135007449,1080219026
"Image 11_P7-3.czi",5,15,45074.235220315,46,125.5652173913,130.5652173913,12,31.30295,31.30295,"Fuchsia", , ,354,3707,6729,68.869565217391,2373.6086956522,3764.2173913044,0,1277,0,46,46,46,354,2430,6729,112.08619871344,720.00612584619,1992.6586473915,3168,109186,173154,783528,282493236,830470280
"Image 11_P7-3.czi",5,16,75450.350260093,77,166.78571428571,151.13636363636,12,31.30295,31.30295,"Fuchsia", , ,455,3941,8009,89.844155844156,2301.961038961,4449.1558441558,0,836,0,77,77,77,455,3105,8009,133.33328491683,833.98888421152,2272.3695728013,6918,177251,342585,1972652,460885743,1916652479
