"Feature","MnSignal","Pval","Fold"
"ERCC-00002",163821,0.74027464943691,0.5
"ERCC-00003",7771.16666666667,0.931719765081368,0.5
"ERCC-00004",40473.8333333333,0.984936713955355,4
"ERCC-00009",5549,0.719772240042051,1
"ERCC-00012",1.5,0.812972668002639,0.667
"ERCC-00013",8.16666666666667,0.358474792820187,0.5
"ERCC-00014",19.6666666666667,0.446996970053828,0.5
"ERCC-00017",1.66666666666667,0.215002297014436,4
"ERCC-00019",226.166666666667,0.611099081061111,4
"ERCC-00022",1733,0.707875285446928,0.5
"ERCC-00025",738,0.875424290998482,1
"ERCC-00028",38.5,0.76554398649598,4
"ERCC-00031",16.3333333333333,0.882111984630809,1
"ERCC-00033",12.5,0.534945191899209,4
"ERCC-00034",141,0.966262653721751,1
"ERCC-00035",839.333333333333,0.8364818816078,1
"ERCC-00039",24,0.157512331433012,0.667
"ERCC-00040",8.66666666666667,0.998766950367056,0.667
"ERCC-00041",1.16666666666667,0.657970121089381,0.5
"ERCC-00042",3802,0.79643078106656,1
"ERCC-00043",6802.5,0.983395263960744,0.5
"ERCC-00044",883.166666666667,0.833401174696274,0.667
"ERCC-00046",25512.5,0.937167101852166,0.5
"ERCC-00051",108.5,0.968958277324698,1
"ERCC-00053",189.333333333333,0.950296715328853,1
"ERCC-00054",41.3333333333333,0.915812007064234,0.667
"ERCC-00058",18.3333333333333,0.309860067681717,0.667
"ERCC-00059",80.1666666666667,0.672078668869128,0.5
"ERCC-00060",1810.33333333333,0.885412362679869,1
"ERCC-00062",623.333333333333,0.856395210987803,4
"ERCC-00067",16.5,0.818154054441178,1
"ERCC-00069",20.5,0.687101972251248,0.5
"ERCC-00071",465.166666666667,0.79205905806633,0.667
"ERCC-00073",6.83333333333333,0.992019039882681,1
"ERCC-00074",111720.166666667,0.804559405247594,0.667
"ERCC-00076",1561.33333333333,0.777420047912819,0.667
"ERCC-00077",20.5,0.623983721233176,0.5
"ERCC-00078",325.5,0.698800647055861,0.5
"ERCC-00079",493.5,0.600558855884994,0.5
"ERCC-00081",2.16666666666667,0.756391492369861,0.5
"ERCC-00084",293.666666666667,0.89424854591118,0.667
"ERCC-00085",51.8333333333333,0.859249310744416,4
"ERCC-00092",3050.33333333333,0.763016324378039,4
"ERCC-00095",1049.16666666667,0.802779235656211,4
"ERCC-00096",164167.333333333,0.714270677108725,1
"ERCC-00097",3.5,0.179863399156646,4
"ERCC-00099",166,0.803980901129073,0.667
"ERCC-00108",6016.83333333333,0.70491722985486,4
"ERCC-00109",2,0.58188591106569,1
"ERCC-00111",4817.66666666667,0.697900770234108,0.667
"ERCC-00112",1121,0.78669275641577,0.5
"ERCC-00113",36676.6666666667,0.80992376654977,0.667
"ERCC-00116",718.333333333333,0.93499132783456,4
"ERCC-00117",1.16666666666667,0.631399652365852,1
"ERCC-00120",5.5,0.627193576401032,0.667
"ERCC-00123",3,0.741294561711758,4
"ERCC-00126",39,0.698115933848071,1
"ERCC-00130",282236.833333333,0.713208841530479,4
"ERCC-00131",1154.16666666667,0.684827578998147,4
"ERCC-00134",2,0.268344478902852,4
"ERCC-00136",13832,0.834283164893718,4
"ERCC-00137",3,0.668214899741181,0.5
"ERCC-00138",1.5,0.748397276212103,1
"ERCC-00143",23,0.606576661534421,0.667
"ERCC-00144",147.5,0.933769265141515,4
"ERCC-00145",5509.16666666667,0.744766709352206,0.667
"ERCC-00147",11,0.434402631643599,4
"ERCC-00148",54.6666666666667,0.635240120785465,1
"ERCC-00150",31.5,0.877217556743065,1
"ERCC-00154",35.1666666666667,0.912438359647527,4
"ERCC-00156",1.83333333333333,0.961130865346894,4
"ERCC-00157",74,0.700411050552652,0.667
"ERCC-00158",8.16666666666667,0.931431682846567,1
"ERCC-00160",116.166666666667,0.942600726068016,0.5
"ERCC-00162",453.333333333333,0.875761785445913,0.667
"ERCC-00163",90,0.764878078896223,0.5
"ERCC-00164",4.83333333333333,0.634073373180314,0.667
"ERCC-00165",361,0.792293920925013,0.5
"ERCC-00168",6,0.707906387810171,0.5
"ERCC-00170",131.333333333333,0.937836513837999,4
"ERCC-00171",24339.5,0.702059223251988,1
"DPM1",1939.16666666667,0.000500162006893922,NA
"SCYL3",586.166666666667,0.044177328278161,NA
"C1orf112",1026.33333333333,7.95619233488458e-07,NA
"FGR",2257.83333333333,1.42113072262681e-07,NA
"CFH",24,0.000188752730542742,NA
