"Feature","MnSignal","Pval","Fold"
"ERCC-00002",59478.8333333333,0.197399562777054,0.5
"ERCC-00003",3851.5,0.00971408294621557,0.5
"ERCC-00004",19406.6666666667,0.018459420852452,4
"ERCC-00009",2080.66666666667,0.102929664156511,1
"ERCC-00013",3.33333333333333,0.0706477093075319,0.5
"ERCC-00014",7.66666666666667,0.0497411126811656,0.5
"ERCC-00019",83.1666666666667,0.0200163705005409,4
"ERCC-00022",622.833333333333,0.235067243424757,0.5
"ERCC-00025",283,0.420507944088223,1
"ERCC-00028",13.8333333333333,0.552315268693379,4
"ERCC-00031",5.83333333333333,0.942239762607829,1
"ERCC-00033",6.16666666666667,0.646246428240561,4
"ERCC-00034",54.5,0.842859674860698,1
"ERCC-00035",314.833333333333,0.379725987695427,1
"ERCC-00039",6.5,0.0429405408176127,0.667
"ERCC-00040",3.33333333333333,0.979923660339503,0.667
"ERCC-00041",1.16666666666667,0.5345216219337,0.5
"ERCC-00042",1490.16666666667,0.107264569165914,1
"ERCC-00043",3126,0.0213147362323511,0.5
"ERCC-00044",324.833333333333,0.488642033163073,0.667
"ERCC-00046",12291.5,0.00521896853467323,0.5
"ERCC-00051",52.6666666666667,0.024264281529127,1
"ERCC-00053",89.5,0.0972276939564191,1
"ERCC-00054",16.6666666666667,0.412455900618809,0.667
"ERCC-00058",5,0.287907027016726,0.667
"ERCC-00059",31.1666666666667,0.0490600144134159,0.5
"ERCC-00060",941.166666666667,0.0105762537015614,1
"ERCC-00062",261.833333333333,0.0773112350064597,4
"ERCC-00067",7.66666666666667,0.154589999611338,1
"ERCC-00069",8.33333333333333,0.1828304877635,0.5
"ERCC-00071",171.833333333333,0.262867048832639,0.667
"ERCC-00073",3.33333333333333,0.488511049443773,1
"ERCC-00074",45318.3333333333,0.043521650206125,0.667
"ERCC-00076",578,0.26757925101299,0.667
"ERCC-00077",7,0.462082191526743,0.5
"ERCC-00078",117,0.107214271680045,0.5
"ERCC-00079",166,0.0982693561609257,0.5
"ERCC-00084",113.666666666667,0.384216208190284,0.667
"ERCC-00085",21.3333333333333,0.20703086491677,4
"ERCC-00092",1138.33333333333,0.207907048265069,4
"ERCC-00095",419.666666666667,0.0912535919281413,4
"ERCC-00096",58563.3333333333,0.190711463966942,1
"ERCC-00097",3.16666666666667,0.84598521841032,4
"ERCC-00099",61.1666666666667,0.314895531428247,0.667
"ERCC-00104",1.5,0.622354016307082,1
"ERCC-00108",2221.66666666667,0.10833316897415,4
"ERCC-00111",1781.66666666667,0.107610156420795,0.667
"ERCC-00112",417.5,0.276742748876434,0.5
"ERCC-00113",13584.1666666667,0.255405322473432,0.667
"ERCC-00116",277.833333333333,0.61191548353365,4
"ERCC-00120",1.83333333333333,0.161136014269306,0.667
"ERCC-00126",17.5,0.0196838766618775,1
"ERCC-00130",101392.666666667,0.204910272440869,4
"ERCC-00131",394.833333333333,0.36479341294429,4
"ERCC-00134",1.33333333333333,0.455309723463815,4
"ERCC-00136",5424.33333333333,0.140732200271145,4
"ERCC-00137",1.5,0.3089505011316,0.5
"ERCC-00138",1.33333333333333,0.15472974953898,1
"ERCC-00143",8.33333333333333,0.265197376958996,0.667
"ERCC-00144",54.3333333333333,0.398118058952429,4
"ERCC-00145",2003.5,0.254527007102978,0.667
"ERCC-00147",5.66666666666667,0.547643823203765,4
"ERCC-00148",15.5,0.653219031531236,1
"ERCC-00150",12.5,0.481004918698791,1
"ERCC-00154",13.5,0.641727099031612,4
"ERCC-00157",27.3333333333333,0.175292686907305,0.667
"ERCC-00158",4.83333333333333,0.219614170125651,1
"ERCC-00160",45,0.618589692255412,0.5
"ERCC-00162",203.333333333333,0.0332011716892045,0.667
"ERCC-00163",28.8333333333333,0.793420334161574,0.5
"ERCC-00164",2.33333333333333,0.743870834296981,0.667
"ERCC-00165",134.833333333333,0.220076602487541,0.5
"ERCC-00168",3.66666666666667,0.532781139060694,0.5
"ERCC-00170",59.5,0.0589510910951879,4
"ERCC-00171",8629.66666666667,0.134533344495326,1
