MV411	chrUn_KI270744v1
E1	E2	E3	E4	E5	E6	E7	E8
0.0154	0	0	0.9845	0.0001	0	0	0
0.0024	0.0001	0.0002	0.9974	0	0	0	0
0.0009	0.0001	0.0002	0.9988	0	0	0	0
0.0007	0.0001	0.0002	0.9989	0	0	0	0
0.0007	0.0001	0.0003	0.9989	0	0	0	0
0.0007	0.0001	0.0003	0.9989	0	0	0	0
0.0007	0	0.0003	0.9989	0	0	0	0
0.0007	0	0.0003	0.9989	0	0	0	0
0.0007	0	0.0004	0.9989	0	0	0	0
0.0007	0.0001	0.0004	0.9988	0	0	0	0
0.0007	0.0001	0.0004	0.9988	0	0	0	0
0.0007	0.0001	0.0004	0.9988	0	0	0	0
0.0007	0.0001	0.0004	0.9988	0	0	0	0
0.0007	0.0001	0.0005	0.9987	0	0	0	0
0.0007	0.0001	0.0005	0.9987	0	0	0	0
0.0007	0.0001	0.0005	0.9987	0	0	0	0
0.0007	0.0001	0.0006	0.9986	0	0	0	0
0.0007	0.0001	0.0006	0.9986	0	0	0	0
0.0007	0.0001	0.0006	0.9986	0	0	0	0
0.0007	0.0001	0.0007	0.9985	0	0	0	0
0.0007	0.0001	0.0007	0.9985	0	0	0	0
0.0007	0.0001	0.0008	0.9984	0	0	0	0
0.0007	0.0001	0.0009	0.9983	0	0	0	0
0.0007	0.0001	0.0009	0.9982	0	0	0	0
0.0007	0.0001	0.001	0.9982	0	0	0	0
0.0008	0.0001	0.0011	0.998	0	0	0	0
0.0008	0.0002	0.0012	0.9979	0	0	0	0
0.0009	0.0003	0.0012	0.9976	0	0	0	0
0.0016	0.0005	0.0013	0.9965	0	0	0	0
0.0078	0.001	0.0013	0.9899	0	0	0	0
0.0631	0.0014	0.0008	0.9347	0	0	0	0
0.0078	0.0009	0.0016	0.9897	0	0	0	0
0.0016	0.0005	0.0016	0.9962	0	0	0	0
0.0009	0.0003	0.0016	0.9972	0	0	0	0
0.0008	0.0002	0.0016	0.9975	0	0	0	0
0.0008	0.0001	0.0015	0.9976	0	0	0	0
0.0007	0.0001	0.0015	0.9977	0	0	0	0
0.0007	0.0001	0.0014	0.9978	0	0	0	0
0.0007	0.0001	0.0014	0.9978	0	0	0	0
0.0007	0.0001	0.0013	0.9978	0	0	0	0
0.0007	0.0001	0.0013	0.9979	0	0	0	0
0.0007	0.0001	0.0013	0.9979	0	0	0	0
0.0007	0.0001	0.0013	0.9979	0	0	0	0
0.0007	0.0001	0.0013	0.9979	0	0	0	0
0.0007	0.0001	0.0013	0.9979	0	0	0	0
